DateTime,Date,Phase,IdLabel,Group,unitLabel,eventDuration,senseRFIDrecords,MsgValue1,Day,DateTime_end,DoubleRead
2020-08-27T00:00:02.705997Z,2020-08-27,light,16515C,All,R2-1,812,8,"0,116,115,116,116,117,114,118",4,2020-08-27T00:00:03.517997Z,0
2020-08-27T00:00:06.288002Z,2020-08-27,light,16515C,All,R1-5,116,2,"0,116",4,2020-08-27T00:00:06.404002Z,0
2020-08-27T00:00:09.178998Z,2020-08-27,light,16515C,All,R1-3,232,3,"0,115,117",4,2020-08-27T00:00:09.410998Z,0
2020-08-27T00:00:38.218997Z,2020-08-27,light,16515C,All,R1-3,665,5,"0,316,116,115,118",4,2020-08-27T00:00:38.883996Z,0
2020-08-27T00:00:40.358003Z,2020-08-27,light,16515C,All,R1-7,348,4,"0,116,115,117",4,2020-08-27T00:00:40.706003Z,0
2020-08-27T00:00:42.053999Z,2020-08-27,light,16515C,All,R1-9,348,4,"0,115,117,116",4,2020-08-27T00:00:42.401999Z,0
2020-08-27T00:01:13.548Z,2020-08-27,light,16515C,All,R1-8,75,1,0,4,2020-08-27T00:01:13.623Z,0
2020-08-27T00:01:37.761997Z,2020-08-27,light,16515C,All,R1-8,75,1,0,4,2020-08-27T00:01:37.836997Z,0
2020-08-27T00:01:39.279Z,2020-08-27,light,16515C,All,R1-8,1043,10,"0,115,116,116,115,117,115,116,117,116",4,2020-08-27T00:01:40.322Z,0
2020-08-27T00:01:42.945997Z,2020-08-27,light,16515C,All,R1-8,581,6,"0,118,115,115,116,117",4,2020-08-27T00:01:43.526997Z,0
2020-08-27T00:05:50.666004Z,2020-08-27,light,16515C,All,R1-9,580,6,"0,117,116,116,116,115",4,2020-08-27T00:05:51.246004Z,0
2020-08-27T00:05:55.333004Z,2020-08-27,light,16515C,All,R1-7,578,6,"0,115,115,116,117,115",4,2020-08-27T00:05:55.911004Z,0
2020-08-27T00:05:57.963002Z,2020-08-27,light,16515C,All,R1-5,75,1,0,4,2020-08-27T00:05:58.038002Z,0
2020-08-27T00:05:58.438997Z,2020-08-27,light,16515C,All,R1-6,231,3,"0,115,116",4,2020-08-27T00:05:58.669997Z,0
2020-08-27T00:05:59.815997Z,2020-08-27,light,16515C,All,R1-8,346,4,"0,115,117,114",4,2020-08-27T00:06:00.161997Z,0
2020-08-27T00:20:34.905998Z,2020-08-27,light,16515C,All,R1-8,3341,29,"0,115,115,116,117,116,114,116,116,117,116,114,116,116,117,115,115,116,117,114,118,115,115,117,114,116,216,116,116",4,2020-08-27T00:20:38.246998Z,0
2020-08-27T00:20:42.831998Z,2020-08-27,light,16515C,All,R1-4,2646,23,"0,215,117,116,115,115,116,117,116,113,117,116,115,118,114,117,116,115,116,114,118,116,114",4,2020-08-27T00:20:45.477998Z,0
2020-08-27T00:20:53.021002Z,2020-08-27,light,16515C,All,R1-2,346,4,"0,115,115,116",4,2020-08-27T00:20:53.367002Z,0
2020-08-27T00:21:03.826999Z,2020-08-27,light,16515C,All,R1-3,793,7,"0,214,117,116,115,117,114",4,2020-08-27T00:21:04.619999Z,0
2020-08-27T00:21:41.066997Z,2020-08-27,light,16515C,All,R1-5,5210,27,"0,216,915,116,116,115,117,116,116,115,115,116,115,117,416,116,116,115,116,216,515,116,116,116,116,114,617",4,2020-08-27T00:21:46.276997Z,0
2020-08-27T00:21:49.991996Z,2020-08-27,light,16515C,All,R1-5,1695,7,"0,616,616,117,133,97,116",4,2020-08-27T00:21:51.686996Z,0
2020-08-27T00:22:56.940998Z,2020-08-27,light,16515C,All,R1-7,449,4,"0,117,215,117",4,2020-08-27T00:22:57.389998Z,0
2020-08-27T00:22:58.788999Z,2020-08-27,light,16515C,All,R1-9,231,3,"0,116,115",4,2020-08-27T00:22:59.019999Z,0
2020-08-27T00:23:13.438999Z,2020-08-27,light,16515C,All,R1-8,115,2,"0,115",4,2020-08-27T00:23:13.553999Z,0
2020-08-27T00:23:15.646001Z,2020-08-27,light,16515C,All,R1-4,233,3,"0,118,115",4,2020-08-27T00:23:15.879001Z,0
2020-08-27T00:23:21.138Z,2020-08-27,light,16515C,All,R1-2,346,4,"0,116,116,114",4,2020-08-27T00:23:21.484Z,0
2020-08-27T00:23:24.364004Z,2020-08-27,light,16515C,All,R1-2,346,4,"0,115,116,115",4,2020-08-27T00:23:24.710004Z,0
2020-08-27T00:23:27.909998Z,2020-08-27,light,16515C,All,R1-2,331,3,"0,116,215",4,2020-08-27T00:23:28.240998Z,0
2020-08-27T00:23:29.834005Z,2020-08-27,light,16515C,All,R1-3,663,5,"0,217,216,115,115",4,2020-08-27T00:23:30.497005Z,0
2020-08-27T00:23:33.097997Z,2020-08-27,light,16515C,All,R1-5,217,2,"0,217",4,2020-08-27T00:23:33.314997Z,0
2020-08-27T00:23:34.015998Z,2020-08-27,light,16515C,All,R1-6,347,4,"0,115,116,116",4,2020-08-27T00:23:34.362998Z,0
