DateTime,Date,Phase,IdLabel,Group,unitLabel,eventDuration,senseRFIDrecords,MsgValue1,Day,DateTime_end,DoubleRead
2020-08-31T00:09:11.365005Z,2020-08-31,light,18295F,All,R3-8,330,3,"0,214,116",8,2020-08-31T00:09:11.695004Z,0
2020-08-31T00:09:37.982001Z,2020-08-31,light,18295F,All,R3-4,75,1,0,8,2020-08-31T00:09:38.057001Z,0
2020-08-31T00:09:39.495997Z,2020-08-31,light,18295F,All,R3-4,2632,22,"0,116,117,115,117,115,115,117,116,115,117,116,115,115,116,115,117,115,117,115,115,316",8,2020-08-31T00:09:42.127997Z,0
2020-08-31T00:09:46.380998Z,2020-08-31,light,18295F,All,R3-2,75,1,0,8,2020-08-31T00:09:46.455998Z,0
2020-08-31T00:09:46.986999Z,2020-08-31,light,18295F,All,R3-1,462,5,"0,115,115,116,116",8,2020-08-31T00:09:47.448998Z,0
2020-08-31T00:09:58.626997Z,2020-08-31,light,18295F,All,R3-3,1158,11,"0,116,116,115,117,115,115,117,116,116,115",8,2020-08-31T00:09:59.784997Z,0
2020-08-31T00:10:03.618999Z,2020-08-31,light,18295F,All,R3-7,346,4,"0,115,116,115",8,2020-08-31T00:10:03.964998Z,0
2020-08-31T00:10:06.596999Z,2020-08-31,light,18295F,All,R3-9,695,7,"0,116,116,116,114,116,117",8,2020-08-31T00:10:07.291999Z,0
2020-08-31T00:10:52.773997Z,2020-08-31,light,18295F,All,R3-8,3078,25,"0,216,116,117,116,114,116,116,116,116,116,116,115,116,115,117,115,116,116,116,116,114,116,116,315",8,2020-08-31T00:10:55.851997Z,0
2020-08-31T00:11:09.868004Z,2020-08-31,light,18295F,All,R3-8,578,6,"0,116,116,116,116,114",8,2020-08-31T00:11:10.446004Z,0
2020-08-31T00:11:54.734003Z,2020-08-31,light,18295F,All,R3-8,75,1,0,8,2020-08-31T00:11:54.809003Z,0
2020-08-31T00:11:56.851002Z,2020-08-31,light,18295F,All,R3-8,75,1,0,8,2020-08-31T00:11:56.926002Z,0
2020-08-31T00:12:00.960999Z,2020-08-31,light,18295F,All,R3-8,1630,3,"0,714,916",8,2020-08-31T00:12:02.590999Z,0
2020-08-31T00:12:03.740002Z,2020-08-31,light,18295F,All,R3-8,75,1,0,8,2020-08-31T00:12:03.815002Z,0
2020-08-31T00:12:19.281004Z,2020-08-31,light,18295F,All,R3-8,75,1,0,8,2020-08-31T00:12:19.356004Z,0
2020-08-31T00:12:32.594Z,2020-08-31,light,18295F,All,R3-8,648,4,"0,216,116,316",8,2020-08-31T00:12:33.242Z,0
2020-08-31T00:12:42.467999Z,2020-08-31,light,18295F,All,R3-8,75,1,0,8,2020-08-31T00:12:42.542999Z,0
2020-08-31T00:12:46.585002Z,2020-08-31,light,18295F,All,R3-8,75,1,0,8,2020-08-31T00:12:46.660002Z,0
2020-08-31T00:12:47.699Z,2020-08-31,light,18295F,All,R3-8,431,3,"0,215,216",8,2020-08-31T00:12:48.130Z,0
2020-08-31T00:22:19.387998Z,2020-08-31,light,18295F,All,R3-6,1157,11,"0,122,110,115,117,115,115,116,116,117,114",8,2020-08-31T00:22:20.544998Z,0
2020-08-31T00:26:31.473001Z,2020-08-31,light,18295F,All,R3-6,1736,16,"0,116,115,117,116,115,116,116,115,116,116,115,116,116,116,115",8,2020-08-31T00:26:33.209002Z,0
2020-08-31T00:26:34.845004Z,2020-08-31,light,18295F,All,R3-4,1258,11,"0,216,116,116,115,116,116,115,117,114,117",8,2020-08-31T00:26:36.103004Z,0
2020-08-31T00:26:48.125996Z,2020-08-31,light,18295F,All,R3-2,347,4,"0,116,115,116",8,2020-08-31T00:26:48.472996Z,0
2020-08-31T00:26:49.918001Z,2020-08-31,light,18295F,All,R3-1,926,9,"0,115,116,116,115,117,115,116,116",8,2020-08-31T00:26:50.844001Z,0
2020-08-31T00:27:28.815998Z,2020-08-31,light,18295F,All,R3-1,75,1,0,8,2020-08-31T00:27:28.890998Z,0
2020-08-31T00:27:29.381996Z,2020-08-31,light,18295F,All,R3-2,578,6,"0,115,116,116,116,115",8,2020-08-31T00:27:29.959996Z,0
2020-08-31T00:31:29.180997Z,2020-08-31,light,18295F,All,R3-2,232,3,"0,116,116",8,2020-08-31T00:31:29.412997Z,0
2020-08-31T00:31:37.443999Z,2020-08-31,light,18295F,All,R2-5,925,9,"0,115,116,115,116,116,115,117,115",8,2020-08-31T00:31:38.368999Z,0
2020-08-31T00:31:40.929997Z,2020-08-31,light,18295F,All,R2-7,895,7,"0,217,216,115,117,115,115",8,2020-08-31T00:31:41.824997Z,0
2020-08-31T00:32:40.638999Z,2020-08-31,light,18295F,All,R2-7,2322,15,"0,217,615,227,104,115,116,117,115,115,117,116,115,116,117",8,2020-08-31T00:32:42.960999Z,0
2020-08-31T00:32:47.213002Z,2020-08-31,light,18295F,All,R2-3,75,1,0,8,2020-08-31T00:32:47.288002Z,0
2020-08-31T00:32:48.228004Z,2020-08-31,light,18295F,All,R2-3,1157,11,"0,116,116,115,116,116,116,115,116,117,114",8,2020-08-31T00:32:49.385004Z,0
2020-08-31T00:33:01.774995Z,2020-08-31,light,18295F,All,R2-3,925,9,"0,116,115,116,115,116,116,115,116",8,2020-08-31T00:33:02.699995Z,0
2020-08-31T00:33:04.601002Z,2020-08-31,light,18295F,All,R2-7,463,5,"0,116,115,116,116",8,2020-08-31T00:33:05.064002Z,0
2020-08-31T00:33:08.081997Z,2020-08-31,light,18295F,All,R2-9,695,7,"0,117,116,114,117,115,116",8,2020-08-31T00:33:08.776997Z,0
2020-08-31T00:33:19.971Z,2020-08-31,light,18295F,All,R2-8,347,4,"0,116,115,116",8,2020-08-31T00:33:20.318Z,0
2020-08-31T00:34:43.014999Z,2020-08-31,light,18295F,All,R2-6,346,4,"0,114,117,115",8,2020-08-31T00:34:43.360999Z,0
